Year,Ethnicity,Sex,Cause of Death,Count
2007,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,137
2007,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",33
2007,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,246
2007,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2121
2007,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,137
2007,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,377
2007,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,230
2007,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),58
2007,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1523
2007,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,49
2007,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",58
2007,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,13
2007,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,163
2007,NON-HISPANIC BLACK,MALE,SEPTICEMIA,67
2007,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,20
2007,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,60
2007,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,162
2007,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,107
2007,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,37
2007,NON-HISPANIC WHITE,FEMALE,ASSAULT (HOMICIDE),12
2007,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,39
2007,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,60
2007,NON-HISPANIC WHITE,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,12
2007,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,372
2007,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,18
2007,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,54
2007,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,472
2007,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",40
2007,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,231
2007,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,7050
2007,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,155
2007,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,40
2007,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,659
2007,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),64
2007,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3519
2007,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,23
2007,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",89
2007,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,35
2007,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,28
2007,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,85
2007,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,79
2007,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,12
2007,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,36
2007,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,297
2007,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,49
2007,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,73
2007,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),41
2007,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,45
2007,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,75
2007,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,267
2007,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,112
2007,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,345
2007,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",53
2007,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,237
2007,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5632
2007,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,123
2007,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,103
2007,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,530
2007,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),187
2007,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3356
2007,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,72
2007,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",92
2007,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,53
2007,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,19
2007,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,261
2007,NON-HISPANIC WHITE,MALE,SEPTICEMIA,62
2007,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,19
2007,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,83
2008,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,37
2008,ASIAN & PACIFIC ISLANDER,FEMALE,ATHEROSCLEROSIS,10
2008,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,9
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,65
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,6
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,6
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,30
2008,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",7
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,47
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,456
2008,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,32
2008,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,73
2008,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),26
2008,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,346
2008,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14
2008,ASIAN & PACIFIC ISLANDER,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",5
2008,ASIAN & PACIFIC ISLANDER,FEMALE,SEPTICEMIA,10
2008,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,9
2008,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,54
2008,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,5
2008,ASIAN & PACIFIC ISLANDER,MALE,ASSAULT (HOMICIDE),14
2008,ASIAN & PACIFIC ISLANDER,MALE,ATHEROSCLEROSIS,8
2008,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,8
2008,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,48
2008,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,13
2008,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,46
2008,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",14
2008,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,52
2008,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,546
2008,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,31
2008,ASIAN & PACIFIC ISLANDER,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,7
2008,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,90
2008,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),30
2008,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,477
2008,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,5
2008,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14
2008,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,7
2008,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,5
2008,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,11
2008,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,68
2008,HISPANIC,FEMALE,ALZHEIMERS DISEASE,61
2008,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,9
2008,HISPANIC,FEMALE,ASSAULT (HOMICIDE),25
2008,HISPANIC,FEMALE,ATHEROSCLEROSIS,16
2008,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,12
2008,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,152
2008,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,63
2008,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156
2008,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",36
2008,HISPANIC,FEMALE,DIABETES MELLITUS,228
2008,HISPANIC,FEMALE,DISEASES OF HEART,1445
2008,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,104
2008,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,113
2008,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,227
2008,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),18
2008,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1046
2008,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",47
2008,HISPANIC,FEMALE,PARKINSONS DISEASE,13
2008,HISPANIC,FEMALE,PNEUMONITIS DUE TO SOLIDS AND LIQUIDS,8
2008,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",9
2008,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,43
2008,HISPANIC,FEMALE,SEPTICEMIA,34
2008,HISPANIC,FEMALE,SHORT GESTATION/LBW,12
2008,HISPANIC,FEMALE,VIRAL HEPATITIS,51
2008,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,186
2008,HISPANIC,MALE,ALZHEIMERS DISEASE,15
2008,HISPANIC,MALE,ANEMIAS,8
2008,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,13
2008,HISPANIC,MALE,ASSAULT (HOMICIDE),119
2008,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,9
2008,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,13
2008,HISPANIC,MALE,CEREBROVASCULAR DISEASE,124
2008,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,149
2008,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,132
2008,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",50
2008,HISPANIC,MALE,DIABETES MELLITUS,191
2008,HISPANIC,MALE,DISEASES OF HEART,1330
2008,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,70
2008,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,222
2008,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,187
2008,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),70
2008,HISPANIC,MALE,MALIGNANT NEOPLASMS,1080
2008,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,48
2008,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",28
2008,HISPANIC,MALE,PARKINSONS DISEASE,19
2008,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,172
2008,HISPANIC,MALE,SEPTICEMIA,37
2008,HISPANIC,MALE,SHORT GESTATION/LBW,14
2008,HISPANIC,MALE,VIRAL HEPATITIS,106
2008,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,70
2008,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,62
2008,NON-HISPANIC BLACK,FEMALE,ANEMIAS,15
2008,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),36
2008,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,30
2008,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,26
2008,NON-HISPANIC BLACK,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,22
2008,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,267
2008,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,40
2008,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,191
2008,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",38
2008,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,380
2008,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2725
2008,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,192
2008,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,227
2008,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,318
2008,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),20
2008,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1756
2008,NON-HISPANIC BLACK,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,14
2008,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",71
2008,NON-HISPANIC BLACK,FEMALE,PEPTIC ULCER,14
2008,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",22
2008,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,56
2008,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,68
2008,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,26
2008,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,29
2008,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,146
2008,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,16
2008,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,17
2008,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),286
2008,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,20
2008,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,20
2008,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,206
2008,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,64
2008,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,169
2008,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",45
2008,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,265
2008,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2077
2008,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,134
2008,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,356
2008,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,222
2008,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),45
2008,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1464
2008,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,37
2008,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",54
2008,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,17
2008,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,132
2008,NON-HISPANIC BLACK,MALE,RESPIRATORY DISTRESS OF NEWBORN,18
2008,NON-HISPANIC BLACK,MALE,SEPTICEMIA,49
2008,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,22
2008,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,62
2008,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,193
2008,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,151
2008,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,26
2008,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,54
2008,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,65
2008,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,379
2008,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,20
2008,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,61
2008,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,518
2008,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",42
2008,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,210
2008,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6836
2008,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,151
2008,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,25
2008,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,621
2008,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),57
2008,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3366
2008,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,15
2008,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",71
2008,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,37
2008,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,29
2008,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,86
2008,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,57
2008,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,14
2008,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,27
2008,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,272
2008,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,58
2008,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,50
2008,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),44
2008,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,53
2008,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,66
2008,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,245
2008,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,136
2008,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,347
2008,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",51
2008,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,247
2008,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5503
2008,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,165
2008,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,104
2008,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,529
2008,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),195
2008,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3362
2008,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,79
2008,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",79
2008,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,61
2008,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,24
2008,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,227
2008,NON-HISPANIC WHITE,MALE,SEPTICEMIA,60
2008,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,14
2008,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,74
2008,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,37
2008,ASIAN & PACIFIC ISLANDER,FEMALE,ATHEROSCLEROSIS,10
2008,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,9
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,65
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,6
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,6
2008,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,30
2008,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",7
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,47
2008,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,456
2008,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,32
2008,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,73
2008,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),26
2008,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,346
2008,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14
2008,ASIAN & PACIFIC ISLANDER,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",5
2008,ASIAN & PACIFIC ISLANDER,FEMALE,SEPTICEMIA,10
2008,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,9
2008,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,54
2008,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,5
2008,ASIAN & PACIFIC ISLANDER,MALE,ASSAULT (HOMICIDE),14
2008,ASIAN & PACIFIC ISLANDER,MALE,ATHEROSCLEROSIS,8
2008,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,8
2008,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,48
2008,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,13
2008,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,46
2008,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",14
2008,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,52
2008,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,546
2008,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,31
2008,ASIAN & PACIFIC ISLANDER,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,7
2008,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,90
2008,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),30
2008,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,477
2008,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,5
2008,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14
2008,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,7
2008,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,5
2008,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,11
2008,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,68
2008,HISPANIC,FEMALE,ALZHEIMERS DISEASE,61
2008,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,9
2008,HISPANIC,FEMALE,ASSAULT (HOMICIDE),25
2008,HISPANIC,FEMALE,ATHEROSCLEROSIS,16
2008,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,12
2008,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,152
2008,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,63
2008,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156
2008,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",36
2008,HISPANIC,FEMALE,DIABETES MELLITUS,228
2008,HISPANIC,FEMALE,DISEASES OF HEART,1445
2008,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,104
2008,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,113
2008,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,227
2008,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),18
